Datetime,DatetimeEpoch,Tempmax,Tempmin,Temp,Feelslikemax,Feelslikemin,Feelslike,Dew,Humidity,Precip,Precipprob,Precipcover,Preciptype,Snow,Snowdepth,Windgust,Windspeed,Winddir,Pressure,Cloudcover,Visibility,Solarradiation,Solarenergy,Uvindex,Sunrise,SunriseEpoch,Sunset,SunsetEpoch,Moonphase,Conditions,Description,Icon,Stations,Source,Address
2019-01-16,1547571600,33.4,25.6,28.8,35.8,25.6,30.5,21.8,67.8,0.1,100.0,4.17,rain,0.0,0.0,31.7,13.4,102.0,1010.2,42.0,10.0,205.3,17.8,8.0,06:15:54,1547594154,17:49:41,1547635781,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
2019-01-17,1547658000,33.6,24.4,28.1,36.0,24.4,29.9,22.5,74.1,0.3,100.0,4.17,rain,0.0,0.0,39.2,14.4,81.9,1010.3,50.9,8.4,216.5,18.7,8.0,06:16:05,1547680565,17:50:12,1547722212,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
2019-01-18,1547744400,33.6,23.0,28.0,33.9,23.0,28.6,19.2,61.4,0.0,0.0,0.0,,0.0,0.0,26.3,16.2,70.4,1010.7,43.5,10.3,225.4,19.4,8.0,06:16:15,1547766975,17:50:42,1547808642,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
2019-01-19,1547830800,33.4,22.0,27.8,34.0,22.0,28.8,19.6,63.0,0.0,0.0,0.0,,0.0,0.0,28.4,14.4,134.3,1010.5,43.8,10.3,243.7,21.0,9.0,06:16:24,1547853384,17:51:11,1547895071,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
2019-01-20,1547917200,32.4,24.0,27.9,35.4,24.0,29.4,21.5,69.2,0.0,0.0,0.0,,0.0,0.0,31.3,16.6,139.4,1010.5,45.3,9.8,234.6,20.4,9.0,06:16:31,1547939791,17:51:40,1547981500,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
2019-01-21,1548003600,33.6,24.4,28.1,35.9,24.4,29.4,21.8,70.7,0.0,0.0,0.0,,0.0,0.0,29.5,16.6,25.6,1011.2,42.8,9.9,222.3,19.3,8.0,06:16:38,1548026198,17:52:09,1548067929,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
2019-01-22,1548090000,33.0,23.0,27.5,34.9,23.0,28.7,21.2,70.8,0.1,100.0,4.17,rain,0.0,0.0,27.7,15.5,109.9,1012.2,44.9,9.6,227.3,19.7,8.0,06:16:44,1548112604,17:52:37,1548154357,0.53,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
2019-01-23,1548176400,32.0,22.0,26.5,32.2,22.0,26.8,18.9,64.8,0.0,0.0,0.0,,0.0,0.0,34.2,17.6,72.8,1012.5,46.7,10.3,240.7,20.8,8.0,06:16:48,1548199008,17:53:05,1548240785,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
2019-01-24,1548262800,32.6,20.6,26.6,31.1,20.6,26.3,16.0,56.1,0.0,0.0,0.0,,0.0,0.0,30.2,14.8,132.6,1012.7,39.2,9.6,261.6,22.6,9.0,06:16:52,1548285412,17:53:32,1548327212,0.6,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
2019-01-25,1548349200,32.6,21.0,26.6,31.6,21.0,26.5,17.4,61.4,0.0,0.0,0.0,,0.0,0.0,25.2,13.4,25.7,1013.5,29.0,8.9,262.2,22.8,9.0,06:16:54,1548371814,17:53:59,1548413639,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
