,Datetime,DatetimeEpoch,Tempmax,Tempmin,Temp,Feelslikemax,Feelslikemin,Feelslike,Dew,Humidity,Precip,Precipprob,Precipcover,Preciptype,Snow,Snowdepth,Windgust,Windspeed,Winddir,Pressure,Cloudcover,Visibility,Solarradiation,Solarenergy,Uvindex,Sunrise,SunriseEpoch,Sunset,SunsetEpoch,Moonphase,Conditions,Description,Icon,Stations,Source,Address
14,2019-01-15,1547485200,31.7,24.0,27.2,34.6,24.0,28.6,22.8,78.2,0.7,100.0,12.5,rain,0.0,0.0,27.4,13.8,124.3,1010.4,53.1,9.8,175.5,15.2,7.0,06:16:09,1547507769,17:51:20,1547549480,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
15,2019-01-16,1547571600,31.8,25.3,28.2,34.7,25.3,29.8,22.1,70.7,0.3,100.0,8.33,rain,0.0,0.0,42.8,16.0,86.5,1010.5,49.9,10.5,197.8,16.9,8.0,06:16:21,1547594181,17:51:50,1547635910,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
16,2019-01-17,1547658000,32.8,24.3,27.8,35.4,24.3,29.3,21.9,72.0,0.0,0.0,0.0,,0.0,0.0,53.6,19.3,79.0,1010.5,50.6,9.7,221.9,19.0,8.0,06:16:32,1547680592,17:52:20,1547722340,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
17,2019-01-18,1547744400,32.5,23.0,27.6,33.4,23.0,28.6,20.2,65.9,0.0,0.0,0.0,,0.0,0.0,40.7,15.2,60.7,1010.9,47.7,11.0,233.4,20.2,8.0,06:16:42,1547767002,17:52:49,1547808769,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
18,2019-01-19,1547830800,32.0,22.0,27.4,33.6,22.0,28.4,20.3,67.0,0.0,0.0,0.0,,0.0,0.0,34.6,15.2,96.7,1010.9,44.9,10.9,242.5,20.9,9.0,06:16:52,1547853412,17:53:18,1547895198,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
19,2019-01-20,1547917200,31.8,24.0,27.7,35.1,24.0,29.2,21.7,71.1,0.1,100.0,4.17,rain,0.0,0.0,35.3,12.2,94.8,1010.9,43.1,10.6,230.4,20.1,9.0,06:17:00,1547939820,17:53:47,1547981627,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
20,2019-01-21,1548003600,32.3,23.8,27.7,36.1,23.8,29.3,22.3,74.2,0.4,100.0,12.5,rain,0.0,0.0,33.8,14.0,33.8,1011.5,41.2,10.5,208.4,18.0,8.0,06:17:07,1548026227,17:54:15,1548068055,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
21,2019-01-22,1548090000,32.0,23.5,27.3,34.7,23.5,28.6,21.8,73.7,1.3,100.0,16.67,rain,0.0,0.0,26.3,14.4,99.3,1012.5,40.0,9.9,215.3,18.7,8.0,06:17:13,1548112633,17:54:42,1548154482,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
22,2019-01-23,1548176400,30.1,22.5,26.0,31.2,22.5,26.5,19.9,70.5,0.1,100.0,4.17,rain,0.0,0.0,32.4,9.9,64.8,1012.8,39.9,10.9,232.8,20.0,8.0,06:17:19,1548199039,17:55:09,1548240909,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
23,2019-01-24,1548262800,31.3,20.7,25.8,31.0,20.7,25.8,18.0,65.2,0.0,0.0,0.0,,0.0,0.0,33.1,11.7,103.6,1012.9,34.1,9.8,255.5,22.1,9.0,06:17:23,1548285443,17:55:36,1548327336,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
24,2019-01-25,1548349200,31.8,20.5,26.0,31.0,20.5,26.1,18.4,67.2,0.0,0.0,0.0,,0.0,0.0,31.0,12.6,42.2,1013.9,26.6,9.9,261.5,22.8,9.0,06:17:26,1548371846,17:56:02,1548413762,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
25,2019-01-26,1548435600,32.0,21.8,26.3,33.2,21.8,26.7,20.2,71.9,0.0,0.0,0.0,,0.0,0.0,26.6,9.4,41.2,1013.3,34.6,9.6,237.0,20.5,8.0,06:17:28,1548458248,17:56:27,1548500187,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
26,2019-01-27,1548522000,32.0,22.3,26.4,33.0,22.3,26.9,19.8,69.1,0.0,0.0,0.0,,0.0,0.0,29.5,10.8,58.6,1013.3,31.5,9.8,229.4,19.8,8.0,06:17:29,1548544649,17:56:52,1548586612,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
27,2019-01-28,1548608400,31.8,22.5,26.6,33.5,22.5,27.4,20.8,72.0,0.0,0.0,0.0,,0.0,0.0,32.0,13.2,90.9,1012.8,35.8,9.4,243.2,21.0,9.0,06:17:29,1548631049,17:57:17,1548673037,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
28,2019-01-29,1548694800,31.9,23.5,27.3,33.3,23.5,28.1,20.6,68.7,0.1,100.0,4.17,rain,0.0,0.0,36.0,16.5,100.4,1012.6,37.4,10.4,246.2,21.2,9.0,06:17:28,1548717448,17:57:40,1548759460,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
